SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,NPOPCHG_2024,NPOPCHG_2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
010,0,0,00,United States,331516113,331578104,332100166,333996304,336755052,340003797,341784857,61991,522062,1896138,2758748,3248745,1781060,894123,3584459,3680380,3648896,3608217,3620461,852024,3438423,3456354,3154285,3093940,3101603,42099,146036,224026,494611,514277,518858,19892,376026,1672112,2264137,2734468,1262202,0,0,0,0,0,0,19892,376026,1672112,2264137,2734468,1262202,0,0,0,0,0,0,8305481,8169006,7879040,8187501,8341542,8433491,8439257,10.80179708,11.05059152,10.88002571,10.66322814,10.62047888,10.36171638,10.3779382,9.405228843,9.14340464,9.098429497,0.440080704,0.672653317,1.474796869,1.519823496,1.522049383,1.133157486,5.02063012,6.751047105,8.081070544,3.702619551,0,0,0,0,0,1.133157486,5.02063012,6.751047105,8.081070544,3.702619551
020,1,0,00,Northeast Region,57617560,57436027,57234503,57174375,57458539,57940522,58042054,-181533,-201524,-60128,284164,481983,101532,146070,572863,588925,579757,574926,572507,193427,561002,564109,528693,516722,512934,-47357,11861,24816,51064,58204,59573,4433,80448,344754,510609,605435,246382,-130285,-288705,-426289,-274149,-179324,-205552,-125852,-208257,-81535,236460,426111,40830,-8324,-5128,-3409,-3360,-2332,1129,1705049,1625517,1670664,1719250,1790521,1830072,1814430,9.991459881,10.29509266,10.1150181,9.964136537,9.872293231,9.784588944,9.861280171,9.224104693,8.955393493,8.845018238,0.206870937,0.433812488,0.890913407,1.008743043,1.027274993,1.403115517,6.026700131,8.908593216,10.49289301,4.248603687,-5.035382674,-7.452026581,-4.783076525,-3.107893573,-3.544532413,-3.632267157,-1.425326451,4.125516691,7.384999433,0.704071274
030,1,1,00,New England,15122087,15047713,15116021,15178293,15267275,15386901,15431980,-74374,68308,62272,88982,119626,45079,35403,139204,144796,142380,140797,141449,46227,143819,149534,143562,142128,140006,-10824,-4615,-4738,-1182,-1331,1443,1563,26730,110006,121848,135265,70763,-55434,43201,-38619,-30013,-13340,-27602,-53871,69931,71387,91835,121925,43161,-9679,2992,-4377,-1671,-968,475,509209,449361,487560,510677,520997,534806,537438,9.229891763,9.559285614,9.35308548,9.186154604,9.179372866,9.535888362,9.872083586,9.43073225,9.272994322,9.085728972,-0.305996598,-0.312797973,-0.077646769,-0.086839718,0.093643893,1.772326994,7.262484967,8.004317739,8.825224987,4.592184901,2.864433163,-2.549587358,-1.971584173,-0.870354499,-1.791239598,4.636760157,4.712897608,6.032733566,7.954870488,2.800945304
030,1,2,00,Middle Atlantic,42495473,42388314,42118482,41996082,42191264,42553621,42610074,-107159,-269832,-122400,195182,362357,56453,110667,433659,444129,437377,434129,431058,147200,417183,414575,385131,374594,372928,-36533,16476,29554,52246,59535,58130,2870,53718,234748,388761,470170,175619,-74851,-331906,-387670,-244136,-165984,-177950,-71981,-278188,-152922,144625,304186,-2331,1355,-8120,968,-1689,-1364,654,1195840,1176156,1183104,1208573,1269524,1295266,1276992,10.26329291,10.56009754,10.39056392,10.24555051,10.12304598,9.873359771,9.857389263,9.149379766,8.840509961,8.757910281,0.389933136,0.702708273,1.241184156,1.405040552,1.365135695,1.271329705,5.581625555,9.235616003,11.09612692,4.12426915,-7.855131557,-9.217666515,-5.799826496,-3.917262971,-4.179010786,-6.583801852,-3.63604096,3.435789507,7.178863952,-0.054741636
020,2,0,00,Midwest Region,68999462,68979566,68867096,68872112,69132050,69518281,69762666,-19896,-112470,5016,259938,386231,244385,190006,747473,753901,744414,735192,737743,186270,762711,771578,701318,684822,691326,3736,-15238,-17677,43096,50370,46417,3082,55297,218638,314946,382875,180161,-37458,-175434,-180661,-91566,-43686,16040,-34376,-120137,37977,223380,339189,196201,10744,22905,-15284,-6538,-3328,1767,1740852,1735403,1640399,1692184,1717350,1734689,1741779,10.84499239,10.94678866,10.78828333,10.60498009,10.5935954,11.06607863,11.20346213,10.16372245,9.878404113,9.927072078,-0.221086239,-0.256673467,0.624560874,0.726575979,0.666523326,0.802297266,3.174666142,4.564297126,5.522886202,2.587015724,-2.545349992,-2.62323274,-1.327003457,-0.630160775,0.230325832,-1.743052726,0.551433402,3.237293669,4.892725427,2.817341556
030,2,3,00,East North Central,47381476,47353837,47203510,47163396,47315626,47555538,47693655,-27639,-150327,-40114,152230,239912,138117,127310,500297,504103,496475,490580,490449,133469,530478,537461,485626,472717,475551,-6159,-30181,-33358,10849,17863,14898,1990,37011,158278,231180,275271,129075,-31173,-172366,-154584,-85055,-50632,-7114,-29183,-135355,3694,146125,224639,121961,7703,15209,-10450,-4744,-2590,1258,1139260,1137576,1051131,1093290,1116612,1129762,1136668,10.58187472,10.68389378,10.50974046,10.34202553,10.29822898,11.22023866,11.39087892,10.28008101,9.965451673,9.985407435,-0.638363934,-0.706985137,0.229659448,0.376573856,0.312821548,0.782826532,3.35452346,4.893784781,5.803048859,2.710259183,-3.645745264,-3.276233302,-1.800505513,-1.067384395,-0.149376594,-2.862918732,0.078290158,3.093279268,4.735664464,2.560882589
030,2,4,00,West North Central,21617986,21625729,21663586,21708716,21816424,21962743,22069011,7743,37857,45130,107708,146319,106268,62696,247176,249798,247939,244612,247294,52801,232233,234117,215692,212105,215775,9895,14943,15681,32247,32507,31519,1092,18286,60360,83766,107604,51086,-6285,-3068,-26077,-6511,6946,23154,-5193,15218,34283,77255,114550,74240,3041,7696,-4834,-1794,-738,509,601592,597827,589268,598894,600738,604927,605111,11.41972332,11.51877989,11.39290994,11.1748129,11.23253005,10.72934511,10.79569168,9.911145605,9.689768652,9.800881428,0.690378215,0.723088205,1.481764332,1.485044245,1.431648623,0.844827413,2.783343158,3.849085839,4.915762787,2.320416307,-0.141743985,-1.20247249,-0.299183414,0.31731988,1.051695556,0.703083428,1.580870667,3.549902424,5.233082667,3.372111863
020,3,0,00,South Region,126281605,126473371,127380165,129066102,130894372,132662072,133833983,191766,906794,1685937,1828270,1767700,1171911,348450,1427445,1481260,1488839,1472891,1481266,314317,1404166,1415258,1268450,1256122,1258400,34133,23279,66002,220389,216769,222866,8937,155227,757942,919367,1146872,596005,154622,732442,836925,677221,398525,357790,163559,887669,1594867,1596588,1545397,953795,-5926,-4154,25068,11293,5534,-4750,3069808,3038941,3004268,3055673,3092194,3114225,3122968,11.24620931,11.55220559,11.45434902,11.17704411,11.11660734,11.06280434,11.03746228,9.758791254,9.53209097,9.444042239,0.183404969,0.514743309,1.695557764,1.64495314,1.672565097,1.222965041,5.911117435,7.073129125,8.703046547,4.472899233,5.770587336,6.527098326,5.210184376,3.024209873,2.685142938,6.993552377,12.43821576,12.2833135,11.72725642,7.158042171
030,3,5,00,South Atlantic,66098022,66176335,66686315,67671784,68680474,69586214,70198706,78313,509980,985469,1008690,905740,612492,172327,699936,728467,728106,720902,726922,168537,727706,744850,673836,666037,664595,3790,-27770,-16383,54270,54865,62327,5995,97729,475583,560519,617293,349644,77805,447313,507501,385372,229300,203812,83800,545042,983084,945891,846593,553456,-9277,-7292,18768,8529,4282,-3291,1629686,1596015,1594010,1624765,1639083,1649751,1654738,10.53623422,10.8436634,10.67977914,10.42770331,10.40057826,10.95425991,11.08753407,9.883752714,9.634092053,9.508822554,-0.418025683,-0.243870673,0.796026422,0.793611257,0.891755706,1.471128267,7.079335054,8.221631357,8.929019837,5.002599708,6.733464973,7.554453416,5.652594327,3.316778659,2.916079932,8.20459324,14.63378847,13.87422568,12.2457985,7.91867964
030,3,6,00,East South Central,19405307,19427354,19472696,19602668,19763302,19948564,20069188,22047,45342,129972,160634,185262,120624,54324,223503,227935,229537,227320,228238,56467,258569,260942,231238,228831,229519,-2143,-35066,-33007,-1701,-1511,-1281,522,7308,47001,67578,113031,50096,23105,69814,114362,93969,73356,72099,23627,77122,161363,161547,186387,122195,563,3286,1616,788,386,-290,506093,509161,475736,497611,503868,505146,507717,11.49114204,11.66643003,11.66169664,11.44846732,11.40683765,13.2940189,13.35583208,11.74811646,11.52456548,11.47085923,-1.80287686,-1.689402049,-0.086419819,-0.076098162,-0.064021587,0.375732165,2.405658972,3.433320708,5.692555469,2.503688863,3.589404127,5.853406765,4.774123437,3.694412144,3.603350833,3.965136292,8.259065738,8.207444145,9.386967613,6.107039696
030,3,7,00,West South Central,40778276,40869682,41221154,41791650,42450596,43127294,43566089,91406,351472,570496,658946,676698,438795,121799,504006,524858,531196,524669,526106,89313,417891,409466,363376,361254,364286,32486,86115,115392,167820,163415,161820,2420,50190,235358,291270,416548,196265,53712,215315,215062,197880,95869,81879,56132,265505,450420,489150,512417,278144,2788,-148,4684,1976,866,-1169,934029,933765,934522,933297,949243,959328,960513,12.27922688,12.64523001,12.61115474,12.26178865,12.13716622,10.18118515,9.865128758,8.626930483,8.442694719,8.404009335,2.098041735,2.780101248,3.984224257,3.819093927,3.733156889,1.222791786,5.670402364,6.915057797,9.734944388,4.527796545,5.245774327,5.181417556,4.697880444,2.240508617,1.888933092,6.468566114,10.85181992,11.61293824,11.97545301,6.416729637
020,4,0,00,West Region,78617486,78689140,78618402,78883715,79270091,79882922,80146154,71654,-70738,265313,386376,612831,263232,209597,836678,856294,835886,825208,828945,158010,710544,705409,655824,636274,638943,51587,126134,150885,180062,188934,190002,3440,85054,350778,519215,599286,239654,13121,-268303,-229975,-311506,-175515,-168278,16561,-183249,120803,207709,423771,71376,3506,-13623,-6375,-1395,126,1854,1789772,1769145,1563709,1720394,1741477,1754505,1760080,10.63748107,10.87342845,10.57054549,10.36999532,10.35992984,9.033819879,8.957454204,8.293496269,7.995751862,7.985336365,1.60366119,1.915974247,2.277049216,2.374243458,2.374593477,1.081372182,4.454263939,6.565950111,7.530941309,2.99513071,-3.411190545,-2.920278208,-3.93927921,-2.205613286,-2.103092815,-2.329818363,1.533985731,2.6266709,5.325328023,0.892037894
030,4,8,00,Mountain,24928332,25006940,25284969,25554105,25829773,26153377,26346149,78608,278029,269136,275668,323604,192772,68891,276996,282650,280129,279591,285113,54956,241496,250419,222898,220909,223624,13935,35500,32231,57231,58682,61489,1020,21407,87626,145878,185588,67811,64719,220677,148323,73506,78773,62734,65739,242084,235949,219384,264361,130545,-1066,445,956,-947,561,738,523881,520413,490001,511420,518598,525670,526242,11.01552936,11.11940001,10.90338102,10.75698568,10.86154568,9.603771454,9.851438285,8.675795159,8.499254085,8.519086439,1.411757903,1.267961726,2.227585859,2.257731592,2.342459244,0.8513099,3.447191033,5.677967708,7.140313736,2.583299514,8.775845037,5.835000063,2.861053033,3.030712837,2.389888244,9.627154937,9.282191096,8.539020741,10.17102657,4.973187758
030,4,9,00,Pacific,53689154,53682200,53333433,53329610,53440318,53729545,53800005,-6954,-348767,-3823,110708,289227,70460,140706,559682,573644,555757,545617,543832,103054,469048,454990,432926,415365,415319,37652,90634,118654,122831,130252,128513,2420,63647,263152,373337,413698,171843,-51598,-488980,-378298,-385012,-254288,-231012,-49178,-425333,-115146,-11675,159410,-59169,4572,-14068,-7331,-448,-435,1116,1265891,1248732,1073708,1208974,1222879,1228835,1233838,10.45981759,10.75619041,10.41036574,10.18228417,10.1150242,8.765971603,8.531352326,8.109511884,7.751526192,7.724741711,1.693845982,2.224838082,2.300853851,2.430757983,2.390282485,1.189489764,4.934267626,6.993298712,7.7204167,3.196200486,-9.138477927,-7.093328474,-7.21199325,-4.745513205,-4.296716577,-7.948988163,-2.159060847,-0.218694537,2.974903495,-1.100516091
040,3,6,01,Alabama,5025437,5032962,5050058,5076868,5117850,5163055,5193088,7525,17096,26810,40982,45205,30033,13899,57327,58251,58640,57648,57680,15121,69137,67263,60111,59508,59868,-1222,-11810,-9012,-1471,-1860,-2188,134,1808,8391,12621,22102,8946,9450,25795,27718,29774,24953,23358,9584,27603,36109,42395,47055,32304,-837,1303,-287,58,10,-83,129053,132345,132684,139735,142803,145212,145596,11.37099798,11.50418202,11.50399648,11.21457693,11.13928226,13.71355011,13.28399161,11.79257729,11.57641278,11.5618334,-2.342552132,-1.779809589,-0.288580812,-0.36183585,-0.422551137,0.358622714,1.657166252,2.475988056,4.299621483,1.727670234,5.116522629,5.474119195,5.841063971,4.854241917,4.510945822,5.475145343,7.131285446,8.317052026,9.1538634,6.238616056
040,4,9,02,Alaska,733383,732906,734590,733659,734654,736537,737270,-477,1684,-931,995,1883,733,2408,9460,9392,9130,9037,8867,1193,5431,6470,5616,5620,5559,1215,4029,2922,3514,3417,3308,63,873,1976,2335,2608,1959,-1697,-3043,-5909,-4913,-4183,-4525,-1634,-2170,-3933,-2578,-1575,-2566,-58,-175,80,59,41,-9,30294,30222,30251,30764,31709,31493,31431,12.89270976,12.79347032,12.43604054,12.28528451,12.03278313,7.401723753,8.813219011,7.649595148,7.640068489,7.543728589,5.490986006,3.980251306,4.786445397,4.645216019,4.489054537,1.189781778,2.69164154,3.180520775,3.545426801,2.658421354,-4.147200401,-8.049043452,-6.692033647,-5.686549197,-6.140559788,-2.957418623,-5.357401912,-3.511512872,-2.141122397,-3.482138435
040,4,8,04,Arizona,7158104,7186647,7274022,7370065,7452073,7556424,7623818,28543,87375,96043,82008,104351,67394,18108,75661,79135,78678,78372,78926,18083,80332,79842,70826,69279,71277,25,-4671,-707,7852,9093,7649,249,8016,26676,39747,60743,28219,29864,84233,68315,34804,34303,31107,30113,92249,94991,74551,95046,59326,-1595,-203,1759,-395,212,419,166868,165768,151002,161389,163528,166157,166962,10.46438446,10.80777518,10.61628221,10.443684,10.3985167,11.11041267,10.90433292,9.556785937,9.231970397,9.390759383,-0.646028202,-0.096557744,1.059496275,1.211713605,1.00775732,1.1086624,3.643245223,5.363193893,8.094481413,3.717859043,11.6499451,9.330045636,4.696218589,4.571143933,4.098353636,12.7586075,12.97329086,10.05941248,12.66562535,7.81621268
040,3,7,05,Arkansas,3011530,3014399,3027127,3047429,3069856,3096080,3114791,2869,12728,20302,22427,26224,18711,8518,34950,36160,35330,35272,35414,8462,40142,40393,36406,36294,36638,56,-5192,-4233,-1076,-1022,-1224,95,1348,6017,5592,13244,5470,2524,16218,18583,17825,13919,14475,2619,17566,24600,23417,27163,19945,194,354,-65,86,83,-10,82491,82426,80336,82163,83707,85713,86745,11.56992455,11.90539687,11.55087592,11.44092316,11.40387556,13.2886956,13.29907898,11.90266597,11.7724219,11.79802318,-1.718771052,-1.393682106,-0.351790051,-0.331498738,-0.394147616,0.446244873,1.981050138,1.828262048,4.295860353,1.761427665,5.368842243,6.118307248,5.827748748,4.514805214,4.661181982,5.815087115,8.099357385,7.656010796,8.810665566,6.422609647
040,4,9,06,California,39555703,39527808,39152927,39125347,39181667,39364774,39355309,-27895,-374881,-27580,56320,183107,-9465,103116,412508,424110,410395,400854,398632,74350,344771,318097,303116,289060,288917,28766,67737,106013,107279,111794,109715,1388,44122,214150,292113,312761,109278,-62399,-470759,-344130,-343891,-241611,-229077,-61011,-426637,-129980,-51778,71150,-119799,4350,-15981,-3613,819,163,619,935458,922058,767691,878703,892034,895386,898968,10.48561633,10.83595686,10.48169197,10.20680237,10.12783485,8.763797135,8.127338117,7.741733071,7.360231637,7.340363196,1.721819198,2.708618741,2.739958901,2.846570731,2.787471655,1.121545192,5.471505414,7.460710991,7.963721743,2.776369024,-11.96630916,-8.792477974,-8.783146807,-6.152054681,-5.820039595,-10.84476397,-3.32097256,-1.322435817,1.811667062,-3.043670571
