Situation,Before tax income,Baseline after tax income,Baseline North Carolina net tax liability,Reform after tax income,Reform North Carolina net tax liability,"North Carolina net tax liability change, dollars","North Carolina net tax liability change, percent",,Percent of population,Number of population,Total baseline tax revenue,Total reform tax revenue
"Single, no kids, low income",13525.2,14776.596,32.178486,14772.72,36.054485,3.8759995,0.120453134,,0.0150,"70,540","$2,269,876","$2,543,290"
"Single, no kids, middle income",41616,34948.863,891.0934,34804.53,1035.4233,144.32996,0.16196951,,0.0650,"305,674","$272,384,179","$316,502,093"
"Single, no kids, high income",93636,72857.734,2481.6958,72453.3,2886.1257,404.42993,0.16296515,,0.1200,"564,321","$1,400,474,119","$1,628,702,578"
"Married filing jointly, no kids, low income",26010,25566.027,33.249,25563.477,35.799,2.5499992,0.07669401,,0.0175,"82,297","$2,736,289","$2,946,146"
"Married filing jointly, no kids, middle income",72828,61856.03,1464.2661,61619.39,1700.906,236.6399,0.16160989,,0.0600,"282,161","$413,158,369","$479,928,852"
"Married filing jointly, no kids, high income",166464,131713.23,4327.187,131008.42,5032.007,704.8198,0.16288176,,0.1725,"811,212","$3,510,266,252","$4,082,024,732"
"Head of household, 2 kids, low income",20808,39016.75,14,39016.75,14,0,0,,0.0175,"82,297","$1,152,156","$1,152,156"
"Head of household, 2 kids, middle income",62424,57764.887,1247.0763,57563.39,1448.5713,201.495,0.16157392,,0.0625,"293,917","$366,537,437","$425,760,326"
"Head of household, 2 kids, high income",156060,123652.555,4199.697,122967.875,4884.3716,684.6748,0.16302958,,0.1700,"799,455","$3,357,470,265","$3,904,837,042"
"Married, 2 kids, low income",26010,45751.21,18,45751.21,18,0,0,,0.0175,"82,297","$1,481,344","$1,481,344"
"Married, 2 kids, middle income",78030,71397.53,1503.7173,71154.88,1746.3672,242.6499,0.1613667,,0.0600,"282,161","$424,289,947","$492,756,217"
"Married, 2 kids, high income",208080,164941.89,5599.596,164028.98,6512.4956,912.8994,0.1630295,,0.2225,"1,046,346","$5,859,114,776","$6,814,323,605"
,,,,,,,,,,,,
,,,,,,,,,1.0000,"4,702,679","$15,611,335,010","$18,152,958,379"
,,,,,,,,,,,,
,,,,,,,,North Carolina population of tax filers,"4,702,679",2027-2028 Total revenue data,,
,,,,,,,,North Carolina population,"11,450,000",2027-2028 Projected total baseline revenue,"$15,611,335,010",
,,,,,,,,,,2027-2028 Projected total reform revenue,"$18,152,958,379",
,,,,,,,,,,,,
,,,,,,,,,,Diff,"$2,541,623,369",
,,,,,,,,,,Pct Diff,16.3%,
,,,,,,,,,,,,
,,,,,,,,,,"Total baseline revenue, FY 2026-27 and FY 2027-28","$33,147,306,475",
,,,,,,,,,,"Total reform revenue, FY 2026-27 and FY 2027-28","$36,916,434,093",
,,,,,,,,,,,,
,,,,,,,,,,Diff 2yr,"$3,769,127,618",
,,,,,,,,,,Pct diff 2yr,11.4%,