United Van Lines 47th Annual National Movers Study,,,,,
https://www.unitedvanlines.com/newsroom/movers-study-2023,,,,,
"These data were taken from the ""2023 Inbound-Outbound State Rankings.pdf"" file",,,,,
,,,,,
state,uvl_total_shipments,uvl_inbound_shipments,uvl_inbound_pct,uvl_outbound_shipments,uvl_outbound_pct
Alabama,2114,1262,0.596972564,852,0.403027436
Arizona,5048,2709,0.536648177,2339,0.463351823
Arkansas,1152,693,0.6015625,459,0.3984375
California,17879,7593,0.424688182,10286,0.575311818
Colorado,7005,3408,0.486509636,3597,0.513490364
Connecticut,1855,870,0.469002695,985,0.530997305
Delaware,519,302,0.581888247,217,0.418111753
District of Columbia,996,630,0.63253012,366,0.36746988
Florida,15003,8535,0.568886223,6468,0.431113777
Georgia,6456,3422,0.530049566,3034,0.469950434
Idaho,1145,603,0.526637555,542,0.473362445
Illinois,6136,2376,0.387222947,3760,0.612777053
Indiana,2399,1301,0.542309296,1098,0.457690704
Iowa,1212,633,0.522277228,579,0.477722772
Kansas,1931,871,0.451061626,1060,0.548938374
Kentucky,1950,928,0.475897436,1022,0.524102564
Louisiana,1867,844,0.452062132,1023,0.547937868
Maine,939,468,0.498402556,471,0.501597444
Maryland,3729,1789,0.479753285,1940,0.520246715
Massachusetts,3505,1522,0.434236805,1983,0.565763195
Michigan,3807,1585,0.416338324,2222,0.583661676
Minnesota,2264,1101,0.48630742,1163,0.51369258
Mississippi,1159,555,0.478861087,604,0.521138913
Missouri,3210,1633,0.508722741,1577,0.491277259
Montana,1042,484,0.464491363,558,0.535508637
Nebraska,1375,644,0.468363636,731,0.531636364
Nevada,2329,1166,0.500644053,1163,0.499355947
New Hampshire,710,384,0.54084507,326,0.45915493
New Jersey,3579,1258,0.351494831,2321,0.648505169
New Mexico,1821,1085,0.595826469,736,0.404173531
New York,6317,2528,0.400189964,3789,0.599810036
North Carolina,7686,4618,0.600832683,3068,0.399167317
North Dakota,435,171,0.393103448,264,0.606896552
Ohio,4897,2399,0.48989177,2498,0.51010823
Oklahoma,1855,885,0.477088949,970,0.522911051
Oregon,2338,1360,0.581693755,978,0.418306245
Pennsylvania,4583,2106,0.459524329,2477,0.540475671
Rhode Island,642,386,0.601246106,256,0.398753894
South Carolina,4273,2701,0.632108589,1572,0.367891411
South Dakota,410,245,0.597560976,165,0.402439024
Tennessee,4293,2376,0.553459119,1917,0.446540881
Texas,16947,8926,0.526700891,8021,0.473299109
Utah,1942,975,0.502059732,967,0.497940268
Vermont,249,163,0.654618474,86,0.345381526
Virginia,8843,4790,0.541671378,4053,0.458328622
Washington,8701,4161,0.478220894,4540,0.521779106
West Virginia,391,228,0.583120205,163,0.416879795
Wisconsin,2414,1195,0.495028998,1219,0.504971002
Wyoming,419,192,0.45823389,227,0.54176611